graph,algo,k,seed,n,m,read_time,running_time,matching_size,matching_weight
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni,kMM_1,16,2,8388608,201194109,95.057611,68.251219,52083291,19099643739271.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,0,8388608,201194109,134.622937,679.027070,52045557,19126240866104.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,1,8388608,201194109,137.186038,681.792753,52045535,19126262990837.00
rmat_s23_ef24_0.45_0.15_0.15_0.25_uni,MRepLM_1,16,2,8388608,201194109,111.428578,525.701788,52045570,19126256447857.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp,kMM_1,16,0,2097152,50253000,32.717299,40.393136,13314829,818492020899.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp,kMM_1,16,1,2097152,50253000,32.544076,41.462888,13314829,818492020899.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp,kMM_1,16,2,2097152,50253000,32.275313,40.257115,13314829,818492020899.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,0,2097152,50253000,31.732283,129.264753,13303774,819276464210.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,1,2097152,50253000,32.792112,131.011394,13303750,819276403094.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,2,2097152,50253000,26.784192,88.289528,13303772,819276898112.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,131072,5724931,3.508684,1.118808,575461,41479132860.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,131072,5724931,3.529085,1.220476,575461,41479132860.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,131072,5724931,3.470918,1.156961,575461,41479132860.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,131072,5724931,3.619654,5.695955,572091,41340460574.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,131072,5724931,3.690804,5.754151,572086,41340418583.00
rmat_s17_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,131072,5724931,3.708807,4.490257,572085,41340463619.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,32768,1349417,0.693419,0.229420,155170,11203594610.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,32768,1349417,0.754921,0.192291,155170,11203594610.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,32768,1349417,0.651321,0.177911,155170,11203594610.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,32768,1349417,0.850235,1.325330,154450,11167319597.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,32768,1349417,0.851548,1.332423,154450,11167338966.00
rmat_s15_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,32768,1349417,0.590890,0.876915,154450,11167319597.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,16777216,398753197,273.388769,410.540139,45628372,2928633505174.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,16777216,398753197,273.393839,408.611511,45628372,2928633505174.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,16777216,398753197,176.852631,279.074385,45628372,2928633505174.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,16777216,398753197,267.977273,1785.452577,45347498,2917789568929.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,16777216,398753197,269.089365,1783.300551,45347491,2917789490291.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,16777216,398753197,270.631159,1396.132987,45347509,2917789437540.00
rmat_s14_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,16384,647435,0.451543,0.135677,81051,5823906276.00
rmat_s14_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,16384,647435,0.429675,0.102087,81051,5823906276.00
rmat_s14_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,16384,647435,0.344453,0.098242,81051,5823906276.00
rmat_s14_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,16384,647435,0.338160,0.442750,80665,5809379256.00
rmat_s14_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,16384,647435,0.437474,0.629535,80665,5809331192.00
rmat_s14_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,16384,647435,0.352270,0.451501,80666,5809321472.00
rmat_s17_ef48_0.25_0.25_0.25_0.25_exp,kMM_1,16,0,131072,6289109,3.897018,1.568342,1035920,89131344920.00
rmat_s17_ef48_0.25_0.25_0.25_0.25_exp,kMM_1,16,1,131072,6289109,3.368412,1.527314,1035920,89131344920.00
rmat_s17_ef48_0.25_0.25_0.25_0.25_exp,kMM_1,16,2,131072,6289109,3.352293,1.556759,1035920,89131344920.00
rmat_s17_ef48_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,0,131072,6289109,4.454961,4.404906,1036080,89761663433.00
rmat_s17_ef48_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,1,131072,6289109,3.317199,5.597019,1036086,89761542186.00
rmat_s17_ef48_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,2,131072,6289109,3.401062,4.429343,1036090,89761826427.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,4194304,99005401,64.939854,73.948562,12348892,789366317466.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,4194304,99005401,65.090164,74.475428,12348892,789366317466.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,4194304,99005401,66.170362,74.618358,12348892,789366317466.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,4194304,99005401,67.141432,346.758186,12288355,786534993263.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,4194304,99005401,65.015283,347.164915,12288359,786535553813.00
rmat_s22_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,4194304,99005401,64.577556,261.588860,12288358,786535634674.00
rmat_s15_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,0,32768,1570612,0.964050,0.173065,258949,115046307834.00
rmat_s15_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,1,32768,1570612,0.844504,0.162331,258949,115046307834.00
rmat_s15_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,2,32768,1570612,0.866690,0.189118,258949,115046307834.00
rmat_s15_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,0,32768,1570612,0.888844,1.283553,259019,115840964429.00
rmat_s15_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,1,32768,1570612,0.838036,0.936559,259021,115841163129.00
rmat_s15_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,2,32768,1570612,1.070215,1.068897,259020,115840859469.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,0,1048576,50329246,33.419493,9.144189,8287431,3682773648927.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,1,1048576,50329246,32.502645,9.044083,8287431,3682773648927.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni,kMM_1,16,2,1048576,50329246,32.957320,8.305189,8287431,3682773648927.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,0,1048576,50329246,32.880591,59.455081,8289748,3708133222735.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,1,1048576,50329246,33.982161,61.168037,8289731,3708151965658.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni,MRepLM_1,16,2,1048576,50329246,34.480705,44.615063,8289744,3708154228378.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,2097152,49251994,27.651426,24.311127,6420439,410139808502.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,2097152,49251994,30.893985,24.665167,6420439,410139808502.00
